[01.03.2017 23:00:49] Starbearzz: [Handler=advertisement, Rule ID=2] http://tse3.mm.bing.net/th?id=OIP.daEN5w-AfbsmcbIB_UdZvwEsCo&pid=15.1
[01.03.2017 23:08:51] Starbearzz: [Handler=advertisement, Rule ID=2] http://tse3.mm.bing.net/th?id=OIP.daEN5w-AfbsmcbIB_UdZvwEsCo&pid=15.1
[01.03.2017 23:10:53] Starbearzz: [Handler=advertisement, Rule ID=2] http://tse3.mm.bing.net/th?id=OIP.daEN5w-AfbsmcbIB_UdZvwEsCo&pid=15.1
[01.03.2017 23:13:56] Starbearzz: [Handler=advertisement, Rule ID=2] http://tse3.mm.bing.net/th?id=OIP.daEN5w-AfbsmcbIB_UdZvwEsCo&pid=15.1
[01.03.2017 23:17:24] Starbearzz: [Handler=advertisement, Rule ID=2] http://tse3.mm.bing.net/th?id=OIP.daEN5w-AfbsmcbIB_UdZvwEsCo&pid=15.1
[01.03.2017 23:18:29] Starbearzz: [Handler=advertisement, Rule ID=2] http://tse3.mm.bing.net/th?id=OIP.daEN5w-AfbsmcbIB_UdZvwEsCo&pid=15.1
[01.03.2017 23:26:20] Starbearzz: [Handler=advertisement, Rule ID=2] http://tse3.mm.bing.net/th?id=OIP.daEN5w-AfbsmcbIB_UdZvwEsCo&pid=15.1
[01.03.2017 23:27:41] Starbearzz: [Handler=advertisement, Rule ID=2] http://tse3.mm.bing.net/th?id=OIP.daEN5w-AfbsmcbIB_UdZvwEsCo&pid=15.1
[01.03.2017 23:28:44] Starbearzz: [Handler=advertisement, Rule ID=2] http://tse3.mm.bing.net/th?id=OIP.daEN5w-AfbsmcbIB_UdZvwEsCo&pid=15.1
[01.03.2017 23:30:22] Starbearzz: [Handler=advertisement, Rule ID=2] http://tse3.mm.bing.net/th?id=OIP.daEN5w-AfbsmcbIB_UdZvwEsCo&pid=15.1
[01.03.2017 23:34:46] Starbearzz: [Handler=advertisement, Rule ID=2] bhttp://images6.fanpop.com/image/photos/33000000/young-justice-young-justice-33044574-1216-656.png
[01.03.2017 23:37:07] Starbearzz: [Handler=advertisement, Rule ID=2] bhttp://images6.fanpop.com/image/photos/33000000/young-justice-young-justice-33044574-1216-656.png
[01.03.2017 23:39:46] Starbearzz: [Handler=advertisement, Rule ID=2] http://images6.fanpop.com/image/photos/33000000/young-justice-young-justice-33044574-1216-656.png
[02.03.2017 00:07:34] Starbearzz: [Handler=advertisement, Rule ID=2] http://images6.fanpop.com/image/photos/33000000/young-justice-young-justice-33044574-1216-656.png
[02.03.2017 00:07:56] Starbearzz: [Handler=advertisement, Rule ID=2] http://images6.fanpop.com/image/photos/33000000/young-justice-young-justice-33044574-1216-656.png
[02.03.2017 00:08:40] Starbearzz: [Handler=advertisement, Rule ID=2] http://images6.fanpop.com/image/photos/33000000/young-justice-young-justice-33044574-1216-656.png
[02.03.2017 00:09:24] Starbearzz: [Handler=advertisement, Rule ID=2] bhttp://images6.fanpop.com/image/photos/33000000/young-justice-young-justice-33044574-1216-656.png
[02.03.2017 00:09:44] MilesMorales888: [Handler=advertisement, Rule ID=2] https://github.com/malonnnn/ServerConfig/pulls
[02.03.2017 00:10:11] Starbearzz: [Handler=advertisement, Rule ID=2] http://images6.fanpop.com/image/photos/33000000/young-justice-young-justice-33044574-1216-656.png
[02.03.2017 00:11:42] Starbearzz: [Handler=advertisement, Rule ID=2] http://images6.fanpop.com/image/photos/33000000/young-justice-young-justice-33044574-1216-656.png
[02.03.2017 00:12:31] Starbearzz: [Handler=advertisement, Rule ID=2] http://images6.fanpop.com/image/photos/33000000/young-justice-young-justice-33044574-1216-656.png
[02.03.2017 00:12:52] Starbearzz: [Handler=advertisement, Rule ID=2] http://images6.fanpop.com/image/photos/33000000/young-justice-young-justice-33044574-1216-656.png
[02.03.2017 00:13:57] Starbearzz: [Handler=advertisement, Rule ID=2] http://images6.fanpop.com/image/photos/33000000/young-justice-young-justice-33044574-1216-656.png
[02.03.2017 00:17:20] Starbearzz: [Handler=advertisement, Rule ID=2] http://images6.fanpop.com/image/photos/33000000/young-justice-young-justice-33044574-1216-656.png
[02.03.2017 00:20:02] Starbearzz: [Handler=advertisement, Rule ID=2] http://images6.fanpop.com/image/photos/33000000/young-justice-young-justice-33044574-1216-656.png
[02.03.2017 00:23:13] Starbearzz: [Handler=advertisement, Rule ID=2] http://images6.fanpop.com/image/photos/33000000/young-justice-young-justice-33044574-1216-656.png
[02.03.2017 00:27:04] Starbearzz: [Handler=advertisement, Rule ID=2] http://images6.fanpop.com/image/photos/33000000/young-justice-young-justice-33044574-1216-656.png
[02.03.2017 00:28:48] Starbearzz: [Handler=advertisement, Rule ID=2] http://images6.fanpop.com/image/photos/33000000/young-justice-young-justice-33044574-1216-656.png
[02.03.2017 00:29:51] Starbearzz: [Handler=advertisement, Rule ID=2] http://images6.fanpop.com/image/photos/33000000/young-justice-young-justice-33044574-1216-656.png
[02.03.2017 00:30:53] Starbearzz: [Handler=advertisement, Rule ID=2] http://images6.fanpop.com/image/photos/33000000/young-justice-young-justice-33044574-1216-656.png
[02.03.2017 00:32:08] Starbearzz: [Handler=advertisement, Rule ID=2] http://images6.fanpop.com/image/photos/33000000/young-justice-young-justice-33044574-1216-656.png
[02.03.2017 00:33:02] Starbearzz: [Handler=advertisement, Rule ID=2] http://images6.fanpop.com/image/photos/33000000/young-justice-young-justice-33044574-1216-656.pngb
[02.03.2017 00:40:55] Starbearzz: [Handler=advertisement, Rule ID=2] http://images6.fanpop.com/image/photos/33000000/young-justice-young-justice-33044574-1216-656.png
[02.03.2017 00:43:52] Starbearzz: [Handler=advertisement, Rule ID=2] http://images6.fanpop.com/image/photos/33000000/young-justice-young-justice-33044574-1216-656.png
[02.03.2017 00:44:07] Starbearzz: [Handler=advertisement, Rule ID=2] http://images6.fanpop.com/image/photos/33000000/young-justice-young-justice-33044574-1216-656.png
[02.03.2017 00:44:54] MilesMorales888: [Handler=advertisement, Rule ID=2] http://vignette3.wikia.nocookie.net/youngjustice/images/9/9b/Mount_Justice.png/revision/latest?cb=20111202230958
