03:15 Converse_Boy: t
03:18 Converse_Boy: §2hi
03:18 Converse_Boy: §3hi
03:18 Converse_Boy: §4hi
03:18 Converse_Boy: mhm
03:23 GOTeamLeoGO : hmm
04:05 Donald_JTrump: Hello
04:06 Donald_JTrump: Are you new to the server?
04:13 airforceboy  : Anyone there?
04:20 airforceboy  : Hello?
04:25 airforceboy  : Hello
04:26 donabella09  : hi
04:26 donabella09  : anyways im guessing ur new?
04:26 airforceboy  : Yep
04:26 donabella09  : well welcome to this server
04:26 donabella09  : sorry for no one being on
04:26 airforceboy  : It's fine
04:27 airforceboy  : Somebody told me about this server
04:27 donabella09  : well this is a server with superheros and stuff
04:27 donabella09  : but anyways more people will be on tomorrow
04:28 donabella09  : its jsut that people doesnt come on the weekends
04:28 airforceboy  : That seems sort of weird
04:28 donabella09  : yea
04:28 airforceboy  : Why not the weekends?
04:28 donabella09  : idk
04:28 donabella09  : u wanna play another game?
04:28 airforceboy  : K
04:29 donabella09  : u choose the next game
04:29 airforceboy  : Boat race?
04:29 donabella09  : sure
04:31 airforceboy  : gg
04:31 donabella09  : gg
04:31 donabella09  : death drop?
04:31 airforceboy  : K
04:33 airforceboy  : WAT
04:33 donabella09  : gg x4
04:33 donabella09  : gawd dammit tek T^T
04:33 airforceboy  : gg
04:33 donabella09  : gg
04:33 airforceboy  : Chess?
04:33 donabella09  : idk how to play chess
04:33 airforceboy  : LOL
04:33 donabella09  : checkers?
04:33 airforceboy  : Checkers?
04:33 airforceboy  : K
04:33 donabella09  : yea
04:34 donabella09  : red or black?
04:34 airforceboy  : I'll be red
04:34 donabella09  : k
04:34 donabella09  : whos going first?
04:34 airforceboy  : You can
04:34 donabella09  : k
04:35 donabella09  : i didnt went yet .-.
04:35 donabella09  : XD
04:35 airforceboy  : WHOOPS XD
04:37 donabella09  : i like how we didnt lose pieces yet .-.
04:37 airforceboy  : Lel
04:38 airforceboy  : ;3
04:38 donabella09  : nu i know this trick :P
04:38 donabella09  : sht
04:39 donabella09  : i already went XD
04:41 donabella09  : x4
04:43 donabella09  : wait how?
04:44 donabella09  : oh
04:46 donabella09  : king me
04:47 airforceboy  : Bro
04:47 donabella09  : XD
04:47 airforceboy  : That's not how it works
04:47 donabella09  : yea it does .-.
04:47 airforceboy  : Not in real checkers
04:48 airforceboy  : The two headed one can go back and forth
04:48 airforceboy  : But only one block
04:48 donabella09  : ...
04:48 donabella09  : why are we playing real checkers theres no force move
04:49 donabella09  : its ur turn .-.
04:50 donabella09  : ur turn .-.
04:52 Nick_A_Naut  : yo yo yo
04:52 donabella09  : wb
04:52 Nick_A_Naut  : ty
04:52 donabella09  : np
04:52 donabella09  : .-.
04:53 airforceboy  : Go
04:54 airforceboy  : I went
04:58 donabella09  : gg
04:58 airforceboy  : lel
04:58 donabella09  : parkour?
04:58 airforceboy  : K
05:00 airforceboy  : 3.99 seconds?
05:00 airforceboy  : That's not even
05:00 donabella09  : becuz he found a shortcut
05:04 airforceboy  : 4.6 seconds lets go
05:05 donabella09  : .-.
05:05 donabella09  : u meant 4.7 seconds
05:05 airforceboy  : Now it's 4.5
05:06 airforceboy  : 4.6
05:06 airforceboy  : 4.5
05:07 airforceboy  : Where you at?
05:07 donabella09  : the top
05:07 donabella09  : LP1
05:08 donabella09  : LP2
05:08 donabella09  : LP1
05:08 donabella09  : LP1
05:08 airforceboy  : LP1
05:09 donabella09  : LP1
05:09 airforceboy  : LP1
05:09 donabella09  : LP2
05:09 airforceboy  : LP2
05:09 airforceboy  : LP1
05:09 donabella09  : NU!!!
05:09 donabella09  : LP1
05:09 airforceboy  : LP2
05:09 donabella09  : LP2
05:10 airforceboy  : LP1
05:10 airforceboy  : This
05:10 donabella09  : LP1
05:10 airforceboy  : Is
05:10 airforceboy  : Lame
05:10 donabella09  : why u say that?
05:10 airforceboy  : Because
05:10 airforceboy  : I'm just missing every jump
05:10 airforceboy  : gg no re
05:10 donabella09  : LP2
05:10 donabella09  : then try doing the godly parkour
05:10 airforceboy  : And we're on hard mode
05:11 donabella09  : thats the point
05:22 Nick_A_Naut  : WB
05:22 Nick_A_Naut  : ty
05:22 donabella09  : wb .-.
05:22 Nick_A_Naut  : holy shit...
05:22 donabella09  : wat?
05:22 Nick_A_Naut  : i joined, had /run 8, was in the end and ran over the edge
05:22 Nick_A_Naut  : luckily i have 50 health
05:22 donabella09  : :o
05:22 donabella09  : what do i do with a dragon egg? .-.
05:22 Nick_A_Naut  : no idea
05:23 Nick_A_Naut  : give it to mee
05:23 donabella09  : nu its meh preciouse
05:23 donabella09  : *precious
05:23 Nick_A_Naut  : k
05:23 Nick_A_Naut  : do you have 2 dragon heads?
05:23 donabella09  : nu
05:23 donabella09  : i have one
05:23 Nick_A_Naut  : can i buy?
05:23 donabella09  : nu
05:23 Nick_A_Naut  : plez/
05:23 donabella09  : nu
05:23 Nick_A_Naut  : i wanna continue my totem
05:23 Nick_A_Naut  : $1k
05:24 donabella09  : nope
05:24 Nick_A_Naut  : i already got 2
05:24 donabella09  : of dragon heads?
05:24 Nick_A_Naut  : yes
05:24 Nick_A_Naut  : i got 2 heads
05:24 donabella09  : i can give u a end crystal
05:24 Nick_A_Naut  : :D
05:24 airforceboy  : I am almost beating a record
05:24 donabella09  : i already have two of these
05:24 airforceboy  : If I was faster by almost a second
05:24 airforceboy  : like almost 0.402
05:25 airforceboy  : Then I'd beat it
05:25 Nick_A_Naut  : ty
05:25 donabella09  : np
05:25 Nick_A_Naut  : ah
05:25 Nick_A_Naut  : there we go
05:27 airforceboy  : OOOOOOOOOOOOOOO
05:27 airforceboy  : I BEAT THE RECORD
05:27 airforceboy  : ERHJSKFHSEFHsfjdshfd
05:27 airforceboy  : I GOT 14.991 AND BEAT 15 wrSSDFSFDFDD
05:27 airforceboy  : What should I do?
05:28 airforceboy  : Ay people
05:28 airforceboy  : Hello?
05:28 Nick_A_Naut  : yo
05:28 airforceboy  : I beat a record
05:28 airforceboy  : Lel what do I do?
05:29 Nick_A_Naut  : idk
05:29 Nick_A_Naut  : tell tek
05:29 Nick_A_Naut  : screenshot it
05:29 airforceboy  : I did
05:29 Nick_A_Naut  : what record?
05:29 airforceboy  : The
05:30 airforceboy  : It was the StraightLineParkourEasy that has 15 seconds as it's record then I got 4.991
05:30 airforceboy  : I MEANT 14.991
05:35 Nick_A_Naut  : umm
05:36 Nick_A_Naut  : airforce
05:36 Nick_A_Naut  : thats like, a one way trip
05:36 airforceboy  : WHOOPS
05:36 airforceboy  : There we go
05:36 airforceboy  : K
05:38 airforceboy  : Should I send him the record?
05:38 Nick_A_Naut  : ifk
05:38 Nick_A_Naut  : *idk
05:38 Nick_A_Naut  : ooh, have you seen my town?
05:38 airforceboy  : NO
05:38 airforceboy  : No
05:38 Nick_A_Naut  : wanna?
05:38 airforceboy  : K
05:39 Nick_A_Naut  : well?
